num,Area,출생,사망자,자연 증가,결혼,이혼
1,SEOUL,42602,55296,-12694,35752,13174
2,BUSAN,14134,27713,-13579,10618,5523
3,DAEGU,10134,17592,-7458,7497,3675
4,INCHEON,14464,18957,-4493,10849,6045
5,GWANGJU,7446,9350,-1904,4902,2360
6,DAEJEON,7677,9302,-1625,5662,2492
7,ULSAN,5399,6369,-970,4013,2165
8,SEJONG,3209,1678,1531,1664,546
9,GYEONGGI,75323,79010,-3687,54178,24864
10,GANGWON,7278,15086,-7808,5572,3117
11,CHUNGBUK,7452,14108,-6656,6185,3271
12,CHUNGNAM,10221,19719,-9498,8017,4527
13,JEONBUK,7032,17852,-10820,5394,3377
14,JEONNAM,7888,20876,-12988,6181,3565
15,GYEONGBUK,11311,27840,-16529,8180,4911
16,GYEONGNAM,14017,27385,-13368,10504,6530
17,JEJU,3599,4806,-1207,2718,1564
